trial_number,changed_parameter,population_size,max_iterations,rho,temperature_start,temperature_min,total_ant_updates,mean_fitness,best_gap_percent,mean_gap_percent,worst_gap_percent,gap_standard_deviation,score,accepted_as_current,new_global_best,tuning_temperature,runtime_seconds,cache_hit
0,initial,20,10000,0.1,0.01,0.001,200000,35641,9.321450566967359,29.120023185885593,42.44466181212187,12.180793717688942,32.16522161530783,yes,yes,,22.59797400003299,no
1,temperature_min,20,10000,0.1,0.01,0.0003,200000,35625.2,9.321450566967359,29.062783030829983,42.44466181212187,12.155030005546317,32.10154053221656,yes,yes,5.0,32.27071040007286,no
2,temperature_start,20,10000,0.1,0.03,0.0003,200000,35409.2,16.7155743940876,28.28025939209506,33.89124370539434,7.022311221984569,30.035837197591203,yes,yes,4.202239692272257,33.597616699989885,no
3,rho,20,10000,0.15,0.03,0.0003,200000,34616.6,12.850052530522044,25.408832373292757,44.15462087454262,11.756675954681496,28.34800136196313,yes,yes,3.531763686261686,25.690614000079222,no
4,temperature_min,20,10000,0.15,0.03,0.0001,200000,34616.6,12.850052530522044,25.408832373292757,44.15462087454262,11.756675954681496,28.34800136196313,yes,no,2.9682635092269276,27.919981300015934,no
5,temperature_start,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,yes,yes,2.4946709471193467,26.911616099998355,no
6,temperature_min,20,10000,0.15,0.01,0.0003,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,yes,no,2.0966410546286682,26.87822019995656,no
7,rho,20,10000,0.1,0.01,0.0003,200000,35625.2,9.321450566967359,29.062783030829983,42.44466181212187,12.155030005546317,32.10154053221656,no,no,1.7621176520416308,0.0,yes
8,population_size,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,yes,yes,1.480968147972587,26.721553900046274,no
9,rho,30,6666,0.1,0.01,0.0003,199980,32745,1.6701083215592507,18.628409955439626,39.050103249646774,18.121913268979835,23.158888272684585,no,no,1.2446766268802676,25.16640909994021,no
10,population_size,20,10000,0.15,0.01,0.0003,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,1.0460859051039608,0.0,yes
11,temperature_start,30,6666,0.15,0.003,0.0003,199980,32757.2,6.5065391442959095,18.672608049849654,51.389341738216864,18.959725183385448,23.412539345696015,no,no,0.8791807423908827,25.702050699968822,no
12,population_size,40,5000,0.15,0.01,0.0003,200000,33856.4,5.3001485345795745,22.654783900300693,56.72209542441039,21.57824393981427,28.04934488525426,no,no,0.7389056424712716,27.741099799983203,no
13,rho,30,6666,0.1,0.01,0.0003,199980,32745,1.6701083215592507,18.628409955439626,39.050103249646774,18.121913268979835,23.158888272684585,no,no,0.621011723927342,0.0,yes
14,temperature_min,30,6666,0.15,0.01,0.0001,199980,31732.2,3.5612071151686413,14.959243560482555,31.19226171068362,10.263611631487576,17.52514646835445,yes,yes,0.5219280231307794,26.11721229995601,no
15,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.43865333106187077,30.31413519999478,no
16,temperature_start,30,6666,0.15,0.003,0.0001,199980,32757.2,6.5065391442959095,18.672608049849654,51.389341738216864,18.959725183385448,23.412539345696015,no,no,0.3686652877871272,39.898010200005956,no
17,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.3098439811004081,0.0,yes
18,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.2604077351583579,0.0,yes
19,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.21885914417143465,48.3551575000165,no
20,temperature_start,30,6666,0.15,0.003,0.0001,199980,32757.2,6.5065391442959095,18.672608049849654,51.389341738216864,18.959725183385448,23.412539345696015,no,no,0.18393971653078783,0.0,yes
21,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.15459175555819676,0.0,yes
22,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.12992632226094097,0.0,yes
23,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.10919630969517649,0.0,yes
24,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.0917738133701449,50.87285600008909,no
25,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.07713111225104186,0.0,yes
26,temperature_start,30,6666,0.15,0.003,0.0001,199980,32757.2,6.5065391442959095,18.672608049849654,51.389341738216864,18.959725183385448,23.412539345696015,no,no,0.06482468428208699,0.0,yes
27,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.05448177226584068,0.0,yes
28,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.04578909318417073,0.0,yes
29,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.03848334897033505,0.0,yes
30,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.032343251306941316,0.0,yes
31,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.027182818883833067,0.0,yes
32,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.022845744092298226,0.0,yes
33,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.019200658524830015,0.0,yes
34,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.01613715387416127,0.0,yes
35,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.0135624377060611,0.0,yes
36,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.011398522810475967,0.0,yes
37,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.009579864997490563,0.0,yes
38,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.008051377787812907,0.0,yes
39,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0067667638634853165,0.0,yes
40,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0056871127390743115,0.0,yes
41,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.004779722177313052,0.0,yes
42,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.004017107650307775,0.0,yes
43,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.0033761698432507774,0.0,yes
44,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0028374949846322033,0.0,yes
45,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.0023847668102089797,0.0,yes
46,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.0020042723493347344,0.0,yes
47,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.001684486564099637,0.0,yes
48,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.001415723260151763,0.0,yes
49,temperature_start,30,6666,0.15,0.03,0.0001,199980,33723.8,9.372169691700178,22.17440133318842,37.02133826033402,10.947068837431491,24.911168542546292,no,no,0.0011898416954165638,38.9261669999687,no
50,temperature_start,30,6666,0.15,0.03,0.0001,199980,33723.8,9.372169691700178,22.17440133318842,37.02133826033402,10.947068837431491,24.911168542546292,no,no,0.001,0.0,yes
